Code,Description
02Q,Titan Airways
04Q,Tradewind Aviation
05Q,"Comlux Aviation, AG"
06Q,Master Top Linhas Aereas Ltd.
07Q,Flair Airlines Ltd.
09Q,"Swift Air, LLC"
0BQ,DCA
0CQ,ACM AIR CHARTER GmbH
0GQ,"Inter Island Airways, d/b/a Inter Island Air"
0HQ,Polar Airlines de Mexico d/b/a Nova Air
0J,JetClub AG
0JQ,Vision Airlines
0LQ,"Metropix UK, LLP."
0MQ,"Multi-Aero, Inc. d/b/a Air Choice One"
0OQ,Open Skies
0Q,Flying Service N.V.
0QQ,TAG Aviation (UK) Ltd.
0RQ,TAG Aviation Espana S.L.
0TQ,"Corporatejets, XXI"
0UQ,"Comlux Malta, Ltd."
0VQ,Ocean Sky (UK) Limited
0WQ,Avjet Corporation
0YQ,Comlux Malta Ltd.
10Q,Swiss Air Ambulance
12Q,Unijet
13Q,Chartright Air Inc.
14Q,London Air Services Limited
15Q,Air Alsie A/S
17Q,Albinati Aeronautics SA
1AQ,Via Airlines d/b/a Charter Air Transport
1BQ,"Dynamic Airways, LLC"
1DQ,Island Airlines LLC
1EQ,"KaiserAir, Inc."
1FQ,Alsek Air
1HQ,International Jet Management GmbH
1I,Sky Trek International Airlines
1IQ,Jet link AG
1JQ,Exec Direct Aviation Services Limited
1LQ,Bertelsmann Aviation GmbH
1MQ,Twin Cities Air Service LLC
1NQ,JSC The 224th Flight Unit State Airlines
1PQ,Makani Kai Air Charters
1QQ,City Wings Inc dba Seaflight
1RQ,Sun Air Express LLC dba Sun Air International
1SQ,Star Marianas Air Inc.
1TQ,Rhoades Aviation dba Transair
1UQ,Gainjet Aviation SA
1WQ,Ultimate JetCharters LLC dba Ultimate Air Shuttle
1XQ,Dassault Falcon Service
1YQ,"Air Charter, Inc d/b/a Air Flamenco"
1ZQ,Comlux Aruba NV
20Q,Orange Air
21Q,Corporate Flight Management Inc.
22Q,Gem Air LLC
23Q,Songbird Airways Inc.
24Q,Blue Jet SP Z o o
25Q,Mjet GmbH
26Q,Albinati aviation Limited
27Q,"Jet Aviation Flight Services, Inc."
28Q,Menagerie Enterprises Inc d/b/a Monarch Air
29Q,Erickson Helicopters
2AQ,ABS JETS A.S
2BQ,Air Medical Ltd.
2E,Smokey Bay Air Inc.
2F,Frontier Flying Service
2K,Aerolineas Galapagos S A Aerogal
2M,Midway Express Airlines
2O,Island Air Service
2R,Regal Air
2T,Canada 3000 Airlines Ltd.
2U,Valley Air Express Inc.
37,Zeal 320
3C,"Regions Air, Inc."
3F,"Pacific Airways, Inc."
3M,Silver Airways
3S,AeroLogic GmbH
3U,Sichuan Airlines Co Ltd.
4B,Boutique Air
4B (1),Olson Air Service
4C,Aerovias de Intergracian Regional
4E,British Airtours Limited
4EQ,Tanana Air Service
4H,Belize Trans Air
4M,LAN Argentina
4M (1),Lan Dominica
4N,Air North
4O,ABC Aerolineas SA de CV dba Interjet
4R,Regent Air Corporation
4S,Sol Air (Aero Hunduras)
4S (1),Conner Air Lines Inc.
4T,Belair Airlines Ltd.
4W,Warbelow
4Y,Yute Air Aka Flight Alaska
5B,Bellair Inc.
5C,C.A.L Cargo Airlines
5D,Aerolitoral
5F,Arctic Circle Air Service
5G,"Skyservice Airlines, Inc."
5G (1),Queen Air
5J,Private Jet Expeditions
5L,Aerosur
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo
5X,United Parcel Service
5Y,Atlas Air Inc.
6A,Aviacsa Airlines
6B,TUIfly Nordic A.B.
6C,Cape Smythe Air Service
6F,Laker Airways Inc.
6H,Israir Airlines
6P,Pacific East Air Inc.
6R,Aerounion Aerotransporte de Carga Union SA de CV
6U,Air Ukraine
6Y,Nicaraguense De Aviacion Sa
7B,Krasair
7C,Jeju Air Co Ltd.
7F,First Air
7G,MK Airlines Ltd.
7G (1),Bellair Inc. (1)
7H,Era Aviation
7I,Insel Air International B V
