Code,Description
"01A","Afognak Lake, AK: Afognak Lake Airport"
"03A","Granite Mountain, AK: Bear Creek Mining Strip"
"04A","Lik, AK: Lik Mining Camp"
"05A","Little Squaw, AK: Little Squaw Airport"
"06A","Kizhuyak, AK: Kizhuyak Bay"
"07A","Klawock, AK: Klawock Seaplane Base"
"08A","Elizabeth Island, AK: Elizabeth Island Airport"
"09A","Homer, AK: Augustin Island"
"1B1","Hudson, NY: Columbia County"
"1G4","Peach Springs, AZ: Grand Canyon West"
"1N7","Blairstown, NJ: Blairstown Airport"
"1NY","Penn Yan, NY: Penn Yan Airport"
"6B0","Middlebury, VT: Middlebury State"
"7AK","Akun, AK: Akun Airport"
"8F3","Crosbyton, TX: Crosbyton Municipal"
"A01","Fairbanks/Ft. Wainwright, AK: Blair Lake"
"A02","Deadmans Bay, AK: Deadmans Bay Airport"
"A03","Hallo Bay, AK: Hallo Bay Airport"
"A04","Red Lake, AK: Red Lake Airport"
"A05","Shell Lake, AK: Shell Lake Airport"
"A06","Kougarok, AK: Navigator Airstrip"
"A07","Selawik, AK: Roland Norton Memorial"
"A08","Pillar Bay, AK: Pillar Bay Airport"
"A09","Johnstone Point, AK: Johnstone Point Airport"
"A11","Bell Creek, AK: Bell Creek Airport"
"A12","Cinnabar, AK: Cinnabar Airport"
"A13","Mountaintop Mine, AK: Mountaintop Mine Airport"
"A14","Whitebear, AK: Whitebear Airport"
"A15","Puviaq, AK: Puviaq Airport"
"A16","Arley Lake, AK: Arley Lake Airport"
"A17","Port Vita, AK: Port Vita Airport"
"A18","Kantishna, AK: Kantishna Airport"
"A1K","Deadhorse1, AK: Point Thomson Airstrip"
"A20","Alpine, AK: Alpine Airstrip"
"A21","Serpentine, AK: Serpentine Airport"
"A22","Driftwood Bay, AK: Driftwood Bay Airport"
"A23","Bradley Lake, AK: Bradley Lake Airport"
"A24","Chilkat Lake, AK: Chilkat Lake Airport"
"A25","Nugget Creek, AK: Nugget Creek Airport"
"A26","Ivotuk, AK: Ivotuk Airstrip"
"A27","Pogo Mines, AK: Pogo Mines Airport"
"A28","Ayakulik River, AK: Ayakulik River Airport"
"A29","Kiluda Bay, AK: Kiluda Bay Airport"
"A2K","Bartletts, AK: Bartletts Airport"
"A30","Terror Lake, AK: Terror Lake Airport"
"A31","Selief Bay, AK: Selief Bay Airport"
"A34","Laura Lake, AK: Laura Lake Airport"
"A35","Kaktovik, AK: Bullen Point AFS"
"A36","Deep Bay, AK: Deep Bay Airport"
"A37","Kako, AK: Kako Airport"
"A38","Molly Creek, AK: Molly Creek Airport"
"A39","Ptarmigan Lake, AK: Ptarmigan Lake Airport"
"A40","Cape Simpson, AK: Cape Simpson Airport"
"A41","Kogru River, AK: Kogru River Airport"
"A42","Teshepkuk Lake, AK: Teshepkuk Lake Airport"
"A43","Kodiak Island, AK: Trident Basin Seaplane Base"
"A45","Lake Florence, AK: Lake Florence Airport"
"A46","Lake Hasselborg, AK: Lake Hasselborg Airport"
"A47","Distin Lake, AK: Distin Lake Airport"
"A48","Port Hobron, AK: Port Hobron Airport"
"A49","Mooseville Airstrip, AK: Mooseville Airstrip Airport"
"A50","Big Bay, AK: Big Bay Airport"
"A51","Wien Lake, AK: Wien Lake Airport"
"A52","Silver Salmon Creek, AK: Silver Salmon Creek Airport"
"A53","Blear Lake, AK: Blear Lake Airport"
"A54","Cannery Bay, AK: Cannery Bay Airport"
"A56","Bear Lake, AK: Johnsons Landing"
"A57","International Seafoods, AK: International Seafoods Airport"
"A58","Cosna River, AK: Cosna River Airport"
"A59","Ivatuk, AK: Ivatuk Airport"
"A61","Cape Sarichef, AK: Cape Sarichef Airport"
