OrderID,ProductID,UnitPrice,Quantity,Discount
10248,11,14.00,12,0
10248,42,9.80,10,0
10248,72,34.80,5,0
10249,14,18.60,9,0
10249,51,42.40,40,0
10250,41,7.70,10,0
10250,51,42.40,35,0.15
10250,65,16.80,15,0.15
10251,22,16.80,6,0.05
10251,57,15.60,15,0.05
10251,65,16.80,20,0
10252,20,64.80,40,0.05
10252,33,2.00,25,0.05
10252,60,27.20,40,0
10253,31,10.00,20,0
10253,39,14.40,42,0
10253,49,16.00,40,0
10254,24,3.60,15,0.15
10254,55,19.20,21,0.15
10254,74,8.00,21,0
10255,2,15.20,20,0
10255,16,13.90,35,0
10255,36,15.20,25,0
10255,59,44.00,30,0
10256,53,26.20,15,0
10256,77,10.40,12,0
10257,27,35.10,25,0
10257,39,14.40,6,0
10257,77,10.40,15,0
10258,2,15.20,50,0.2
10258,5,17.00,65,0.2
10258,32,25.60,6,0.2
10259,21,8.00,10,0
10259,37,20.80,1,0
10260,41,7.70,16,0.25
10260,57,15.60,50,0
10260,62,39.40,15,0.25
10260,70,12.00,21,0.25
10261,21,8.00,20,0
10261,35,14.40,20,0
10262,5,17.00,12,0.2
10262,7,24.00,15,0
10262,56,30.40,2,0
10263,16,13.90,60,0.25
10263,24,3.60,28,0
10263,30,20.70,60,0.25
10263,74,8.00,36,0.25
10264,2,15.20,35,0
10264,41,7.70,25,0.15
10265,17,31.20,30,0
10265,70,12.00,20,0
10266,12,30.40,12,0.05
10267,40,14.70,50,0
10267,59,44.00,70,0.15
10267,76,14.40,15,0.15
10268,29,99.00,10,0
10268,72,27.80,4,0
10269,33,2.00,60,0.05
10269,72,27.80,20,0.05
10270,36,15.20,30,0
10270,43,36.80,25,0
10271,33,2.00,24,0
10272,20,64.80,6,0
10272,31,10.00,40,0
10272,72,27.80,24,0
10273,10,24.80,24,0.05
10273,31,10.00,15,0.05
10273,33,2.00,20,0
10273,40,14.70,60,0.05
10273,76,14.40,33,0.05
10274,71,17.20,20,0
10274,72,27.80,7,0
10275,24,3.60,12,0.05
10275,59,44.00,6,0.05
10276,10,24.80,15,0
10276,13,4.80,10,0
10277,28,36.40,20,0
10277,62,39.40,12,0
10278,44,15.50,16,0
10278,59,44.00,15,0
10278,63,35.10,8,0
10278,73,12.00,25,0
10279,17,31.20,15,0.25
10280,24,3.60,12,0
10280,55,19.20,20,0
10280,75,6.20,30,0
10281,19,7.30,1,0
10281,24,3.60,6,0
10281,35,14.40,4,0
10282,30,20.70,6,0
10282,57,15.60,2,0
10283,15,12.40,20,0
10283,19,7.30,18,0
10283,60,27.20,35,0
10283,72,27.80,3,0
10284,27,35.10,15,0.25
10284,44,15.50,21,0
10284,60,27.20,20,0.25
10284,67,11.20,5,0.25
10285,1,14.40,45,0.2
10285,40,14.70,40,0.2
10285,53,26.20,36,0.2
10286,35,14.40,100,0
10286,62,39.40,40,0
10287,16,13.90,40,0.15
10287,34,11.20,20,0
10287,46,9.60,15,0.15
10288,54,5.90,10,0.1
10288,68,10.00,3,0.1
10289,3,8.00,30,0
10289,64,26.60,9,0
10290,5,17.00,20,0
10290,29,99.00,15,0
10290,49,16.00,15,0
10290,77,10.40,10,0
10291,13,4.80,20,0.1
10291,44,15.50,24,0.1
10291,51,42.40,2,0.1
10292,20,64.80,20,0
10293,18,50.00,12,0
10293,24,3.60,10,0
10293,63,35.10,5,0
10293,75,6.20,6,0
10294,1,14.40,18,0
10294,17,31.20,15,0
10294,43,36.80,15,0
10294,60,27.20,21,0
10294,75,6.20,6,0
10295,56,30.40,4,0
10296,11,16.80,12,0
10296,16,13.90,30,0
10296,69,28.80,15,0
10297,39,14.40,60,0
10297,72,27.80,20,0
10298,2,15.20,40,0
10298,36,15.20,40,0.25
10298,59,44.00,30,0.25
10298,62,39.40,15,0
10299,19,7.30,15,0
10299,70,12.00,20,0
10300,66,13.60,30,0
10300,68,10.00,20,0
10301,40,14.70,10,0
10301,56,30.40,20,0
10302,17,31.20,40,0
10302,28,36.40,28,0
10302,43,36.80,12,0
10303,40,14.70,40,0.1
10303,65,16.80,30,0.1
10303,68,10.00,15,0.1
10304,49,16.00,30,0
10304,59,44.00,10,0
10304,71,17.20,2,0
10305,18,50.00,25,0.1
10305,29,99.00,25,0.1
10305,39,14.40,30,0.1
10306,30,20.70,10,0
10306,53,26.20,10,0
10306,54,5.90,5,0
10307,62,39.40,10,0
10307,68,10.00,3,0
10308,69,28.80,1,0
10308,70,12.00,5,0
10309,4,17.60,20,0
10309,6,20.00,30,0
10309,42,11.20,2,0
10309,43,36.80,20,0
10309,71,17.20,3,0
10310,16,13.90,10,0
10310,62,39.40,5,0
10311,42,11.20,6,0
10311,69,28.80,7,0
10312,28,36.40,4,0
10312,43,36.80,24,0
10312,53,26.20,20,0
10312,75,6.20,10,0
10313,36,15.20,12,0
10314,32,25.60,40,0.1
10314,58,10.60,30,0.1
10314,62,39.40,25,0.1
10315,34,11.20,14,0
10315,70,12.00,30,0
10316,41,7.70,10,0
10316,62,39.40,70,0
10317,1,14.40,20,0
10318,41,7.70,20,0
10318,76,14.40,6,0
10319,17,31.20,8,0
10319,28,36.40,14,0
10319,76,14.40,30,0
10320,71,17.20,30,0
10321,35,14.40,10,0
10322,52,5.60,20,0
10323,15,12.40,5,0
10323,25,11.20,4,0
10323,39,14.40,4,0
10324,16,13.90,21,0.15
10324,35,14.40,70,0.15
10324,46,9.60,30,0
10324,59,44.00,40,0.15
10324,63,35.10,80,0.15
10325,6,20.00,6,0
10325,13,4.80,12,0
10325,14,18.60,9,0
10325,31,10.00,4,0
10325,72,27.80,40,0
10326,4,17.60,24,0
10326,57,15.60,16,0
10326,75,6.20,50,0
10327,2,15.20,25,0.2
10327,11,16.80,50,0.2
10327,30,20.70,35,0.2
10327,58,10.60,30,0.2
10328,59,44.00,9,0
10328,65,16.80,40,0
10328,68,10.00,10,0
10329,19,7.30,10,0.05
10329,30,20.70,8,0.05
10329,38,210.80,20,0.05
10329,56,30.40,12,0.05
10330,26,24.90,50,0.15
10330,72,27.80,25,0.15
10331,54,5.90,15,0
10332,18,50.00,40,0.2
10332,42,11.20,10,0.2
10332,47,7.60,16,0.2
10333,14,18.60,10,0
10333,21,8.00,10,0.1
10333,71,17.20,40,0.1
10334,52,5.60,8,0
10334,68,10.00,10,0
10335,2,15.20,7,0.2
